Topic,Info
OVERVIEW,"The permanent GST Voucher scheme was introduced by the Government in Budget 2012 to help lower- and middle-income Singaporean households with their expenses, in particular what they pay in Goods and Services Tax (GST). Each of the four components provides support for various household needs – Cash for their immediate needs; MediSave for seniors to support their healthcare needs; U-Save to offset their utilities bills; and Service and Conservancy Charges (S&CC) Rebate to offset their S&CC."
CASH component,Provides lower-income Singaporeans with cash for their immediate needs. Paid in August each year.
MEDISAVE component,Provides Singaporeans aged 65 and above with a CPF MediSave account top-up to support their medical needs. Paid in August each year.
U-SAVE component,"Provides eligible HDB households with quarterly rebates to offset their utilities bills. Paid in January, April, July, and October each year."
S&CC Rebate component,"Provides eligible HDB households with quarterly rebates to offset their S&CC. Paid in January, April, July, and October each year."
Background on GST Voucher,"The Goods and Services Tax (GST) is a tax on domestic consumption. It is paid when money is spent on goods or services in Singapore.

We do not exempt basic necessities from GST in Singapore, because multi-tiered GST systems benefit the better-off more as they spend more on goods and services, including basic necessities. Such a system is also administratively costly to implement.

Instead, what we have is a fairer and more effective system. We collect GST from all taxpayers, including the higher-income households who spend more, foreigners residing in Singapore, and tourists. We then directly help the lower- and middle-income Singaporean households and seniors who pay GST for their expenses, through the permanent GST Voucher scheme and other subsidies/schemes. This approach is fairer and more effective, rather than waiving GST for some goods for everyone, whether rich or poor."
ELIGIBILITY GST Voucher – Cash,"To receive the 2025 GST Voucher – Cash, you must fulfil the following criteria:
You must be a Singapore citizen, residing in Singapore;
You must be aged 21 and above in 2025;
Your Income Earned in 2023 as assessed by IRAS (Assessable Income (AI) for the Year of Assessment (YA) 2024) must not exceed $39,000;
The Annual Value (AV) of your home (as indicated on your NRIC) as at 31 December 2024 must not exceed $31,000; and
You must not own more than one property."
ELIGIBILITY GST Voucher – medisave,"To receive the 2025 GSTV – MediSave, you must fulfil the following criteria:
You must be a Singapore citizen, residing in Singapore;
You must be aged 65 and above in 2025;
The AV of your home (as indicated on your NRIC) as at 31 December 2024 must not exceed $31,000; and
You must not own more than one property."
definition of Assessable Income (AI),"	Your AI is your total income after deducting allowable expenses and approved donations. It includes employment income, trade income, and other income such as rental income .

Based on the sample Notice of Assessment here:
Income = $35,000
Donations = $5,000
Assessable income = $35,000 - $5,000 = $30,000

You may visit iras.gov.sg [log in to myTax Portal using your Singpass] > Individual Income Tax > View Account Details > View Details > View Notices > Notice of Assessment (Individual) to view your Notice of Assessment."
definition of Annual Value (AV),"The AV is the estimated gross annual rent of the property if it were to be rented out, excluding furniture, furnishing and maintenance fees. It is determined based on estimated market rentals of similar or comparable properties and not on the actual rental income received.

To find out the AV of the property you are residing at, you may refer to IRAS Check Annual Value of Property portal."
